Record ID,Store Name,Store Street Address,Additonal Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name,x,y
315350,Flash Foods LLC 274097,463062 South 8th St,,FERNANDINA,FL,32034,    ,NASSAU,Convenience Store,30.655472,-81.460922,,,-9068188.356590576,3588085.9922407186
312766,Tom Thumb 900120,10398 N Davis Hwy,,Pensacola,FL,32514,8160,ESCAMBIA,Convenience Store,30.540962,-87.197052,,,-9706731.427314598,3573276.718952067
311024,Jiffy 1543,1904 N Young Blvd,,Chiefland,FL,32626,1951,LEVY,Convenience Store,29.496904,-82.868599,,,-9224890.24343198,3439044.0848363773
233985,CIRCLE K 2709708,3702 S US HIGHWAY 41,,RUSKIN,FL,33570,    ,HILLSBOROUGH,Convenience Store,27.686022,-82.471169,,,-9180648.53820601,3209445.708926416
314289,CIRCLE K 2705938,2211 Citrus Blvd,,Leesburg,FL,34748,3008,LAKE,Convenience Store,28.841167,-81.894608,,,-9116466.061274748,3355445.6435052403
314341,Gordon Food Service Store MP123,101 S State Road 7,,Hollywood,FL,33023,6736,BROWARD,Supermarket,26.009939,-80.207535,,,-8928661.953983666,3000311.9832578297
314372,CIRCLE K 8223,711 Quietwater Beach Rd,,Gulf Breeze,FL,32561,2038,ESCAMBIA,Convenience Store,30.334129,-87.14093,,,-9700483.954852296,3546571.721080495
313058,PUBLIX  0741,7640 W Sand Lake Rd,,Orlando,FL,32819,5112,ORANGE,Supermarket,28.449841,-81.48671,,,-9071059.063619154,3305807.7435914148
311359,Winn-Dixie 0077,1010 S Ponce de Leon Blvd,,St Augustine,FL,32084,6018,ST JOHNS,Supermarket,29.878963,-81.324852,,,-9053041.113478336,3488001.1342062945
314544,Walgreens 3391,807 E Silver Springs Blvd,,Ocala,FL,34470,6709,MARION,Other,29.187069,-82.129509,,,-9142615.120981578,3399477.340743024
311465,Tom Thumb 900041,2838 N Highway 81,,Ponce de Leon,FL,32455,6723,HOLMES,Convenience Store,30.727421,-85.937904,,,-9566563.713121228,3597399.937682597
290928,PUBLIX 0499,3830 US HIGHWAY A1A,,MELBOURNE BEACH,FL,32951,    ,BREVARD,Supermarket,28.015715,-80.533051,,,-8964898.229348732,3250955.236124608
311498,Super Kwik 2,8001 Gibsonton Dr,,Gibsonton,FL,33534,4416,HILLSBOROUGH,Convenience Store,27.849743,-82.365173,,,-9168849.117459884,3230042.9933973937
314651,CIRCLE K 2707961,5320 N Florida Ave,,Tampa,FL,33603,2142,HILLSBOROUGH,Convenience Store,27.99585,-82.459496,,,-9179349.105789978,3248450.57967195
311559,CIRCLE K 2708529,13001 W Colonial Dr,,WINTER GARDEN,FL,34787,    ,ORANGE,Convenience Store,28.551138,-81.575745,,,-9080970.394481933,3318639.0653066006
291025,SUPERMERCADO MI MEXICO & MEAT MKT,387 E Main St,,Apopka,FL,32703,5331,ORANGE,Supermarket,28.673178,-81.503372,,,-9072913.86897475,3334114.316386932
313417,Publix 1517,2848 US Highway 27 N,,Sebring,FL,33870,1625,HIGHLANDS,Supermarket,27.509867,-81.493095,,,-9071769.838567868,3187318.593277863
311648,Spears Seafood Inc,5025 W Tennessee St,,Tallahassee,FL,32304,9202,LEON,Specialty Store,30.458035,-84.363205,,,-9391269.02228855,3562562.892625122
332888,Walgreens 3046,2295 E Bay Dr,,Largo,FL,33771,2324,PINELLAS,Other,27.916452,-82.763092,,,-9213145.257916855,3238444.375956498
380851,Walmart S/C  860,1699 N Woodland Blvd,,Deland,FL,32720,1803,VOLUSIA,Super Store,29.060944,-81.304352,,,-9050759.063917074,3383405.1296088044
381228,Winn Dixie 2335,1955 N Highway 19,,Eustis,FL,32726,6728,LAKE,Supermarket,28.874233,-81.687805,,,-9093444.856620228,3359648.4315343527
381259,PUBLIX  0062,1160 E State Road 434,,Winter Springs,FL,32708,2715,SEMINOLE,Supermarket,28.698891,-81.264252,,,-9046295.152336264,3337377.143484126
381399,Walmart Supercenter 1225,899 Blanding Blvd,,Orange Park,FL,32065,    ,CLAY,Super Store,30.139498,-81.771278,,,-9102737.028475212,3521493.6429782812
273300,PUBLIX 0148,5391 Fruitville Rd,,Sarasota,FL,34232,6402,SARASOTA,Supermarket,27.338043,-82.461708,,,-9179595.344503615,3165769.6098158886
273385,Walmart Supercenter 2081,23106 US Highway 19 N,,Clearwater,FL,33765,1849,PINELLAS,Super Store,27.983761,-82.729973,,,-9209458.467701271,3246926.5775030483
334097,CVS Pharmacy 5211,5250 Clark Rd,,Sarasota,FL,34233,3225,SARASOTA,Other,27.269033,-82.465744,,,-9180044.629968455,3157124.2635937566
295711,EL BODEGON GROCERY,4704 Forest Hill Blvd,,West Palm Beach,FL,33415,5620,PALM BEACH,Super Store,26.651615,-80.115952,,,-8918466.981058346,3080012.666286487
331931,PUBLIX 0823,2310 S Highway 77,,LYNN HAVEN,FL,32444,    ,BAY,Supermarket,30.223061,-85.649445,,,-9534452.60412649,3532254.599865473
331934,P'S HOUSE OF MEATS I,4050 Hallandale Beach Blvd,,Pembroke Park,FL,33023,4448,BROWARD,Grocery Store,25.984358,-80.18364,,,-8926001.974751163,2997143.74374509
295717,Gordon Food Service Store MP125,2299 SW 8th St,,Miami,FL,33135,4913,MIAMI DADE,Supermarket,25.765398,-80.232491,,,-8931440.043195905,2970053.375501344
334181,CIRCLE K 2705321,9827 LITTLE RD,,PORT RICHEY,FL,34667,    ,PASCO,Convenience Store,28.331297,-82.666206,,,-9202359.957731858,3290807.3358503473
382134,PUBLIX 802,535 Tamiami Trl S,,Venice,FL,34285,2927,SARASOTA,Supermarket,27.0916,-82.444328,,,-9177660.611753626,3134920.627214398
295730,CVS Pharmacy 4361,1920 A1A S,,St Augustine,FL,32080,6508,ST JOHNS,Other,29.860001,-81.281403,,,-9048204.392922858,3485566.9409886403
274455,CVS Pharmacy 5125,735 NW 119th St,,North Miami,FL,33168,2334,MIAMI DADE,Other,25.883816,-80.211288,,,-8929079.736032614,2984698.159043314
334270,Winn Dixie 0144,1436 SR 121 S,,Macclenny,FL,32063,4623,BAKER,Supermarket,30.264812,-82.122795,,,-9141867.721920393,3537634.5748792924
295757,CIRCLE K 2704131,4015 S WESTSHORE,,TAMPA,FL,33611,    ,HILLSBOROUGH,Convenience Store,27.905148,-82.526794,,,-9186840.684881385,3237020.377209378
274541,Publix 1558,2952 Aventura Blvd,,Aventura,FL,33180,3103,MIAMI DADE,Supermarket,25.96129,-80.141747,,,-8921338.46732336,2994287.333623075
335359,DOLLAR GENERAL  6158,710 S US Highway 27,,Havana,FL,32333,2018,GADSDEN,Other,30.615608,-84.420189,,,-9397612.452151915,3582928.500747418
332055,Winn Dixie 729,625 N Collier Blvd,,Marco Island,FL,34145,1916,COLLIER,Supermarket,25.952703,-81.728912,,,-9098020.866928264,2993224.1857926007
332323,PUBLIX 0432,3251 HOLLYWOOD BLVD,,HOLLYWOOD,FL,33021,    ,BROWARD,Supermarket,26.010839,-80.17495,,,-8925034.608376168,3000423.461971804
332446,Publix 0396,4901 Volunteer Rd,,Southwest Ranches,FL,33330,2400,BROWARD,Supermarket,26.059475,-80.346085,,,-8944085.269433076,3006449.0435147895
332620,WINN DIXIE  355,7024 Beracasa Way,,Boca Raton,FL,33433,3447,PALM BEACH,Supermarket,26.352081,-80.154495,,,-8922757.568191992,3042753.4360315297
334360,Walmart 819,1619 DEL PRADO BLVD S,,CAPE CORAL,FL,33990,    ,LEE,Super Store,26.620743,-81.937126,,,-9121199.143384296,3076167.9793741456
334415,Joe's Market,2190 NW 46th St,,Miami,FL,33142,4017,MIAMI DADE,Supermarket,25.816772,-80.232101,,,-8931396.628594495,2976405.012185396
