Record ID,Store Name,Store Street Address,Additonal Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name,x,y
1353918,Walmart Neighborhood Market 5719,14720 SW 26th St,,Miami,FL,33185,5830,MIAMI DADE,Super Store,25.742865,-80.432602,,,-8953716.297818039,2967268.3702100264
1356127,109 Fish Market,10910 W Flagler St,Ste 105,Miami,FL,33174,1218,MIAMI DADE,Grocery Store,25.76832,-80.373726,,,-8947162.251478093,2970414.563881598
1356892,7-eleven 38257A,13698 SW 152nd St,,Miami,FL,33177,1113,MIAMI DADE,Convenience Store,25.626177,-80.41423,,,-8951671.136133185,2952854.5481840405
1356949,Meat Club Market Llc,5900 NW 97th Ave,Unit 26,Doral,FL,33178,1643,MIAMI DADE,Super Store,25.827572,-80.354004,,,-8944966.808480669,2977740.6230594437
1360256,9th Avenue Food Mart,906 Nw 4 St.,Ste 2,Homestead,FL,33030,    ,MIAMI DADE,Convenience Store,25.473381,-80.488754,,,-8959967.109865062,2934001.7721607983
1361866,WAWA Store 5243,1001 SW 184 St.,,Cutler Bay,FL,33157,    ,MIAMI DADE,Convenience Store,25.598927,-80.341812,,,-8943609.601248916,2949490.537037265
1361869,WAWA Store 5245,11990 SW 137th Ter,,Miami,FL,33186,6042,MIAMI DADE,Convenience Store,25.640104,-80.388039,,,-8948755.567349818,2954574.131955429
1365004,South Dade Fish Market,22157 S Dixie Hwy,,Miami,FL,33170,2840,MIAMI DADE,Specialty Store,25.559412,-80.388184,,,-8948771.70867598,2944613.7734701466
1366097,J & A Foods Llc/Bravo Supermarket N/A,12630 Sw 8th St,,Miami,FL,33184,1424,MIAMI DADE,Supermarket,25.760799,-80.400032,,,-8950090.6220029,2969484.9111823207
1367381,Franjo Market,18450 Sw 97th Ave,,Cutler Bay,FL,33157,7023,MIAMI DADE,Convenience Store,25.598213,-80.348145,,,-8944314.58758411,2949402.4040816547
1367646,Marchantes Dollar Store,2401 W 72nd St,Suites 2 & 3,Hialeah,FL,33016,1702,MIAMI DADE,Convenience Store,25.888134,-80.33223,,,-8942542.937888134,2985232.4442893863
1367668,Kwik Stop 2008 Stop & Shop,805 NE 2nd Ave,2,Homestead,FL,33030,4301,MIAMI DADE,Convenience Store,25.477444,-80.473122,,,-8958226.963584982,2934502.775868766
1368410,Farmstores 1203,99 N Royal Poinciana Blvd,,Miami Springs,FL,33166,4423,MIAMI DADE,Convenience Store,25.822292,-80.282516,,,-8937008.80072284,2977087.642522712
1370720,Dollar Tree 7864,120 NE 8th St,,Homestead,FL,33030,4608,MIAMI DADE,Other,25.477089,-80.4748,,,-8958413.757690532,2934459.0005651866
1371750,Dollar Tree 7861,9825 E Hibiscus St,,Palmetto Bay,FL,33157,5406,MIAMI DADE,Other,25.604025,-80.35051,,,-8944577.858179836,2950119.8265699926
1373880,786 Grocery Store,11510 SW 147th Ave,Unit 7,Miami,FL,33196,2457,MIAMI DADE,Grocery Store,25.660027,-80.432297,,,-8953682.345373346,2957034.398037209
1374470,La Barata Supermarket,5961 W 16th Ave,,Hialeah,FL,33012,6813,MIAMI DADE,Grocery Store,25.876711,-80.314705,,,-8940592.063811984,2983819.0684757303
1376261,Mr. Mart Chevron 1,14801 Bethune Dr.,,Miami,FL,33176,    ,MIAMI DADE,Convenience Store,25.630735,-80.380524,,,-8947919.001376504,2953417.3079568665
1377951,Bangladesh Food Market N/A,744 SW 8th Ave,,Homestead,FL,33030,6952,MIAMI DADE,Convenience Store,25.462475,-80.487602,,,-8959838.869811667,2932657.049923179
1378309,Flagler Food Corp./ Food Star.,10751 W Flagler St,,Miami,FL,33174,1421,MIAMI DADE,Super Store,25.76861,-80.370201,,,-8946769.850273045,2970450.411262687
1378463,Presidente Supermarket 30,3322 NE 7th St,,Homestead,FL,33033,6066,MIAMI DADE,Supermarket,25.476782,-80.427078,,,-8953101.368950894,2934421.1442801002
1378971,CVS Pharmacy 11087,802 E 25th St,,Hialeah,FL,33013,3402,MIAMI DADE,Other,25.845135,-80.265877,,,-8935156.55571553,2979912.858654804
1380347,Kwick Stop,764 NW 29th St,,Miami,FL,33127,3804,MIAMI DADE,Grocery Store,25.803467,-80.208748,,,-8928796.984525999,2974759.7812196664
1381500,Sedano's 43,1170 W 49th St,,Hialeah,FL,33012,3323,MIAMI DADE,Supermarket,25.866489,-80.306534,,,-8939682.472252712,2982554.4091167296
1382029,Mas Por Menos Supermarket And Cafeteria,15260 SW 280th St,Ste 108,Homestead,FL,33032,8186,MIAMI DADE,Grocery Store,25.506107,-80.437996,,,-8954316.755151376,2938037.6575627066
1384699,ALDI 83,5875 NW 105th Ct,Ste 100,Doral,FL,33178,6689,MIAMI DADE,Supermarket,25.828182,-80.367928,,,-8946516.821070476,2977816.063975402
1385416,Bravo Supermarket,32955 S Dixie Hwy,,Homestead,FL,33034,5641,MIAMI DADE,Super Store,25.461477,-80.473564,,,-8958276.166799912,2932534.0014727926
1385474,Wild Fork Foods 9015,11333 S Dixie Hwy,,Pinecrest,FL,33156,4442,MIAMI DADE,Specialty Store,25.665302,-80.323997,,,-8941626.444520434,2957685.869919599
1386552,Fuel Life 2,4770 NW 17th Ave,,Miami,FL,33142,4180,MIAMI DADE,Convenience Store,25.819065,-80.224594,,,-8930560.95317711,2976688.571974576
1388112,Lima's Store ,13378 SW 288th St,,Homestead,FL,33033,1927,MIAMI DADE,Grocery Store,25.499178,-80.406837,,,-8950848.151137749,2937183.0571887116
1389460,Wild Fork Foods 9018,15703 SW 88th St,,Miami,FL,33196,1001,MIAMI DADE,Specialty Store,25.684813,-80.446304,,,-8955241.597480888,2960095.763640761
1390051,CVS Pharmacy 03250,13675 SW 88th Street,,Miami,FL,33183,    ,MIAMI DADE,Other,25.685505,-80.416061,,,-8951874.962120825,2960181.243002286
1395486,Dollar Tree 8073,8651 SW 24th St,,Miami,FL,33155,2337,MIAMI DADE,Other,25.747816,-80.334473,,,-8942792.627505984,2967880.252368479
1396598,Wawa Store 5357,3300 NW 87th Ave,,Doral,FL,33172,1208,MIAMI DADE,Convenience Store,25.805855,-80.337387,,,-8943117.012502158,2975055.055968849
